ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090821.490444,stop,cv,1218.1282424926758,1460.358910560608,519.0468406677246,1544.707260131836,0.3772590160369873,0.4821094572544098
1770090821.523780,stop,cv,1218.1282424926758,1460.358910560608,519.0468406677246,1544.707260131836,0.3772590160369873,0.4821094572544098
1770090821.557115,stop,cv,1218.1282424926758,1460.358910560608,519.0468406677246,1544.707260131836,0.3772590160369873,0.4821094572544098
1770090821.590447,stop,cv,1297.4629211425781,1081.406421661377,463.150634765625,1751.890139579773,0.3650306761264801,0.4370024502277374
1770090821.623787,stop,cv,1297.4629211425781,1081.406421661377,463.150634765625,1751.890139579773,0.3650306761264801,0.4370024502277374
1770090821.657117,stop,cv,1560.479507446289,883.9298987388611,420.4098129272461,1714.2142868041992,0.4261336922645569,0.4025546908378601
1770090821.685691,stop,cv,1569.525375366211,875.7445478439331,381.37012481689453,1675.1470756530762,0.4535292983055115,0.38377222418785095
1770090821.718915,stop,cv,1569.525375366211,875.7445478439331,381.37012481689453,1675.1470756530762,0.4535292983055115,0.38377222418785095
1770090821.756485,stop,cv,1569.525375366211,875.7445478439331,381.37012481689453,1675.1470756530762,0.4535292983055115,0.38377222418785095
1770090821.785578,stop,cv,1441.637191772461,757.7861452102661,412.81079292297363,1501.2382221221924,0.4419686198234558,0.3541406989097595
1770090821.820658,stop,cv,1441.637191772461,757.7861452102661,412.81079292297363,1501.2382221221924,0.4419686198234558,0.3541406989097595
1770090821.856563,stop,cv,1574.2646026611328,655.2096104621887,335.3530025482178,1222.0949363708496,0.47077643871307373,0.3595585227012634
1770090821.885505,stop,cv,1673.64990234375,585.3733205795288,420.1849365234375,1280.3686094284058,0.5187126398086548,0.3324519097805023
1770090821.923781,stop,cv,1673.64990234375,585.3733205795288,420.1849365234375,1280.3686094284058,0.5187126398086548,0.3324519097805023
1770090821.957115,stop,cv,1691.3813781738281,544.4421887397766,469.4070053100586,1353.2463312149048,0.5596550703048706,0.30737319588661194
1770090821.988564,stop,cv,1691.3813781738281,544.4421887397766,469.4070053100586,1353.2463312149048,0.5596550703048706,0.30737319588661194
1770090822.019131,stop,cv,1691.3813781738281,544.4421887397766,469.4070053100586,1353.2463312149048,0.5596550703048706,0.30737319588661194
1770090822.057119,stop,cv,1732.6788711547852,514.3857514858246,465.29528617858887,1294.415316581726,0.5902404189109802,0.32053324580192566
1770090822.088078,stop,cv,1755.8280944824219,487.91659712791443,541.9716453552246,1278.81902217865,0.6145395636558533,0.3111756145954132
1770090822.119212,stop,cv,1755.8280944824219,487.91659712791443,541.9716453552246,1278.81902217865,0.6145395636558533,0.3111756145954132
1770090822.152451,stop,cv,1724.4299697875977,508.6667561531067,475.7980728149414,1443.3071422576904,0.6358176469802856,0.29942765831947327
1770090822.190297,stop,cv,1724.4299697875977,508.6667561531067,475.7980728149414,1443.3071422576904,0.6358176469802856,0.29942765831947327
1770090822.223784,stop,cv,1724.4299697875977,508.6667561531067,475.7980728149414,1443.3071422576904,0.6358176469802856,0.29942765831947327
1770090822.255970,stop,cv,1737.4494552612305,533.9199364185333,418.77857208251953,1459.8440551757812,0.667074978351593,0.30273640155792236
1770090822.289004,stop,cv,1756.6160202026367,497.25770115852356,412.4399757385254,1410.0529432296753,0.694920003414154,0.3067074418067932
1770090822.319402,stop,cv,1756.6160202026367,497.25770115852356,412.4399757385254,1410.0529432296753,0.694920003414154,0.3067074418067932
1770090822.352897,stop,cv,1774.5173263549805,494.8031258583069,401.4725875854492,1409.700436592102,0.7173141241073608,0.31509122252464294
1770090822.390451,stop,cv,1774.5173263549805,494.8031258583069,401.4725875854492,1409.700436592102,0.7173141241073608,0.31509122252464294
1770090822.421124,stop,cv,1774.5173263549805,494.8031258583069,401.4725875854492,1409.700436592102,0.7173141241073608,0.31509122252464294
1770090822.457125,stop,cv,1771.0092544555664,478.6166274547577,358.6141777038574,1409.170904159546,0.7270830273628235,0.30823230743408203
1770090822.489842,stop,cv,1774.8993301391602,472.5891888141632,405.0416564941406,1681.1759948730469,0.7533672451972961,0.2824833393096924
1770090822.523787,left,cv,1774.8993301391602,472.5891888141632,405.0416564941406,1681.1759948730469,0.7533672451972961,0.2824833393096924
1770090822.555553,left,cv,1774.8993301391602,472.5891888141632,405.0416564941406,1681.1759948730469,0.7533672451972961,0.2824833393096924
1770090822.590456,left,cv,1782.5090789794922,469.556028842926,404.4111728668213,1326.5574073791504,0.7544984817504883,0.2706449031829834
1770090822.623779,left,cv,1782.5090789794922,469.556028842926,404.4111728668213,1326.5574073791504,0.7544984817504883,0.2706449031829834
1770090822.652285,left,cv,1782.2859191894531,471.9044530391693,434.3598461151123,1462.1074104309082,0.7747607231140137,0.25262564420700073
1770090822.690449,left,cv,1783.5359573364258,458.9580738544464,354.798059463501,1386.0564851760864,0.7777224183082581,0.2652541399002075
1770090822.720575,left,cv,1783.5359573364258,458.9580738544464,354.798059463501,1386.0564851760864,0.7777224183082581,0.2652541399002075
1770090822.752283,left,cv,1783.6219024658203,482.4369728565216,461.9417381286621,1389.7578048706055,0.7794933915138245,0.26449304819107056
1770090822.785603,left,cv,1783.6219024658203,482.4369728565216,461.9417381286621,1389.7578048706055,0.7794933915138245,0.26449304819107056
1770090822.823783,left,cv,1783.6219024658203,482.4369728565216,461.9417381286621,1389.7578048706055,0.7794933915138245,0.26449304819107056
1770090822.857108,stop,cv,1755.7715606689453,527.7131223678589,443.57645988464355,1338.6330127716064,0.7847543358802795,0.250133752822876
1770090822.885542,stop,cv,1760.6427383422852,521.7461621761322,551.6144943237305,1264.2879724502563,0.8020241856575012,0.29423239827156067
1770090822.919012,stop,cv,1760.6427383422852,521.7461621761322,551.6144943237305,1264.2879724502563,0.8020241856575012,0.29423239827156067
